openbsd	wireplumber	wireplumber
openbsd	wl-clipboard	wl-clipboard
openbsd	wofi	wofi
openbsd	xclip	xclip
openbsd	xmonad	xmonad
openbsd	xorg-xrandr	
openbsd	xsetroot	
openbsd	xterm	
openbsd	yambar	
pacman	alacritty	alacritty
pacman	awesome	awesome
pacman	bemenu	bemenu
pacman	bspwm	bspwm
pacman	cc-toolchain	base-devel
pacman	dmenu	dmenu
pacman	dunst	dunst
pacman	dwl	
pacman	dwm	
pacman	fastfetch	fastfetch
pacman	fontconfig	fontconfig
pacman	foot	foot
pacman	fuzzel	fuzzel
pacman	grim	grim
pacman	hyprland	hyprland
pacman	i3	i3-wm
pacman	i3lock	i3lock
pacman	icewm	icewm
pacman	idle	xss-lock
pacman	kitty	kitty
pacman	libinput	libinput
pacman	maim	maim
pacman	mako	mako
pacman	mangowm	
pacman	meson	meson ninja
pacman	niri	niri
pacman	openbox	openbox
pacman	pixman	pixman
pacman	polybar	polybar
pacman	pulseaudio-utils	libpulse
pacman	python	python
pacman	qtile	qtile
pacman	river	river
pacman	rofi	rofi
pacman	rofi-wayland	rofi
pacman	scenefx	
pacman	slurp	slurp
pacman	st	
pacman	swaybg	swaybg
pacman	swayfx	
pacman	swayidle	swayidle
pacman	swaylock	swaylock
pacman	swaync	swaync
pacman	sway	sway
pacman	tint2	tint2
pacman	tofi	
pacman	uwsm	uwsm
pacman	waybar	waybar
pacman	wayfire	wayfire
pacman	wayland-protocols	wayland-protocols
pacman	wayland	wayland
pacman	wireplumber	wireplumber
pacman	wl-clipboard	wl-clipboard
pacman	wlroots	wlroots0.20
pacman	wofi	wofi
pacman	xclip	xclip
pacman	xft	libxft
pacman	xinerama	libxinerama
pacman	xlib	libx11
pacman	xmonad	xmonad
pacman	xorg-xrandr	xorg-xrandr
pacman	xsetroot	xorg-xsetroot
pacman	xterm	xterm
pacman	yambar	
pkg	alacritty	alacritty
pkg	awesome	awesome
pkg	bemenu	bemenu
pkg	bspwm	bspwm
pkg	cc-toolchain	pkgconf gmake
pkg	dmenu	dmenu
pkg	dunst	dunst
pkg	dwl	dwl
pkg	dwm	dwm
pkg	fastfetch	fastfetch
pkg	fontconfig	fontconfig
pkg	foot	foot
pkg	fuzzel	fuzzel
pkg	grim	grim
pkg	hyprland	hyprland
pkg	i3	i3
pkg	i3lock	i3lock
pkg	icewm	icewm
pkg	idle	xautolock
pkg	kitty	kitty
pkg	libinput	libinput
pkg	maim	maim
pkg	mako	mako
pkg	mangowm	mango
pkg	niri	niri
pkg	openbox	openbox
pkg	pixman	pixman
pkg	polybar	polybar
pkg	pulseaudio-utils	pulseaudio
pkg	python	python3
pkg	qtile	py312-qtile
pkg	river	river
pkg	rofi	rofi
pkg	rofi-wayland	rofi
pkg	slurp	slurp
pkg	st	sterm
pkg	swaybg	swaybg
pkg	swayfx	swayfx
pkg	swayidle	swayidle
pkg	swaylock	swaylock
pkg	swaync	swaync
pkg	sway	sway
pkg	tint2	tint2
pkg	tofi	tofi
pkg	uwsm	
pkg	waybar	waybar
pkg	wayfire	wayfire
pkg	wayland-protocols	wayland-protocols
pkg	wayland	wayland
pkg	wireplumber	wireplumber
pkg	wl-clipboard	wl-clipboard
pkg	wlroots	wlroots019
pkg	wofi	wofi
pkg	xclip	xclip
pkg	xft	libXft
pkg	xinerama	libXinerama
pkg	xlib	libX11
pkg	xmonad	hs-xmonad
pkg	xorg-xrandr	xrandr
pkg	xsetroot	xsetroot
pkg	xterm	xterm
pkg	yambar	
portage	alacritty	x11-terms/alacritty
portage	awesome	x11-wm/awesome
portage	bemenu	dev-libs/bemenu
portage	bspwm	x11-wm/bspwm
portage	cc-toolchain	sys-devel/gcc dev-build/make virtual/pkgconfig
portage	dmenu	x11-misc/dmenu
portage	dunst	x11-misc/dunst
portage	dwl	gui-wm/dwl
portage	dwm	x11-wm/dwm
portage	fastfetch	app-misc/fastfetch
portage	fontconfig	media-libs/fontconfig
portage	foot	gui-apps/foot
portage	fuzzel	
portage	grim	gui-apps/grim
portage	hyprland	
portage	i3lock	x11-misc/i3lock
portage	i3	x11-wm/i3
portage	icewm	x11-wm/icewm
portage	idle	x11-misc/xautolock
portage	kitty	x11-terms/kitty
portage	libinput	dev-libs/libinput
portage	maim	media-gfx/maim
portage	mako	gui-apps/mako
portage	mangowm	
portage	niri	
portage	openbox	x11-wm/openbox
portage	pixman	x11-libs/pixman
portage	polybar	x11-misc/polybar
portage	pulseaudio-utils	media-libs/libpulse
portage	python	dev-lang/python
portage	qtile	x11-wm/qtile
portage	river	
portage	rofi-wayland	x11-misc/rofi
portage	rofi	x11-misc/rofi
portage	slurp	gui-apps/slurp
portage	st	x11-terms/st
portage	swaybg	gui-apps/swaybg
portage	swayfx	
portage	sway	gui-wm/sway
portage	swayidle	gui-apps/swayidle
portage	swaylock	gui-apps/swaylock
portage	swaync	
portage	tint2	x11-misc/tint2
portage	tofi	
portage	uwsm	gui-apps/uwsm
portage	waybar	gui-apps/waybar
portage	wayfire	gui-wm/wayfire
portage	wayland	dev-libs/wayland dev-util/wayland-scanner
portage	wayland-protocols	dev-libs/wayland-protocols
portage	wireplumber	media-video/wireplumber
portage	wl-clipboard	gui-apps/wl-clipboard
portage	wlroots	gui-libs/wlroots:0.19
portage	wofi	gui-apps/wofi
portage	xclip	x11-misc/xclip
portage	xft	x11-libs/libXft
portage	xinerama	x11-libs/libXinerama
portage	xlib	x11-libs/libX11
portage	xmonad	x11-wm/xmonad
portage	xorg-xrandr	x11-apps/xrandr
portage	xsetroot	x11-apps/xsetroot
portage	xterm	x11-terms/xterm
portage	yambar	
xbps	alacritty	alacritty
xbps	awesome	awesome
xbps	bemenu	bemenu
xbps	bspwm	bspwm
xbps	cc-toolchain	base-devel
xbps	dmenu	dmenu
xbps	dunst	dunst
xbps	dwl	
xbps	dwm	dwm
xbps	fastfetch	fastfetch
xbps	fontconfig	fontconfig-devel
xbps	foot	foot
xbps	fuzzel	fuzzel
xbps	grim	grim
xbps	hyprland	
xbps	i3	i3
xbps	i3lock	i3lock
xbps	icewm	icewm
xbps	idle	xautolock
xbps	kitty	kitty
xbps	libinput	libinput-devel
xbps	maim	maim
xbps	mako	mako
xbps	mangowm	mangowc
xbps	niri	niri
xbps	openbox	openbox
xbps	pixman	pixman-devel
xbps	polybar	polybar
xbps	pulseaudio-utils	pulseaudio-utils
xbps	python	python3
xbps	qtile	qtile
xbps	river	river
xbps	rofi	rofi
xbps	rofi-wayland	
xbps	slurp	slurp
xbps	st	st
xbps	swaybg	swaybg
xbps	swayfx	swayfx
xbps	swayidle	swayidle
xbps	swaylock	swaylock
xbps	swaync	SwayNotificationCenter
xbps	sway	sway
xbps	tint2	tint2
xbps	tofi	tofi
xbps	uwsm	
xbps	waybar	Waybar
xbps	wayfire	wayfire
xbps	wayland-protocols	wayland-protocols
xbps	wayland	wayland-devel
xbps	wireplumber	wireplumber
xbps	wl-clipboard	wl-clipboard
xbps	wlroots	wlroots0.19-devel
xbps	wofi	wofi
xbps	xclip	xclip
xbps	xft	libXft-devel
xbps	xinerama	libXinerama-devel
xbps	xlib	libX11-devel
xbps	xmonad	
xbps	xorg-xrandr	xrandr
xbps	xsetroot	xsetroot
xbps	xterm	xterm
xbps	yambar	yambar
zypper	alacritty	alacritty
zypper	awesome	awesome
zypper	bemenu	bemenu
zypper	bspwm	bspwm
zypper	cc-toolchain	gcc make pkgconf-pkg-config
zypper	dmenu	dmenu
zypper	dunst	dunst
zypper	dwl	
zypper	dwm	
zypper	fastfetch	fastfetch
zypper	fontconfig	fontconfig-devel
zypper	foot	foot
zypper	fuzzel	fuzzel
zypper	grim	grim
zypper	hyprland	hyprland
zypper	i3	i3
zypper	i3lock	i3lock
zypper	icewm	icewm
zypper	idle	xautolock
zypper	kitty	kitty
zypper	libinput	libinput-devel
zypper	maim	maim
zypper	mako	mako
zypper	mangowm	
zypper	niri	niri
zypper	openbox	openbox
zypper	pixman	libpixman-1-0-devel
zypper	polybar	polybar
zypper	pulseaudio-utils	pulseaudio-utils
zypper	python	python3
zypper	qtile	
zypper	river	river
zypper	rofi	rofi
zypper	rofi-wayland	rofi-wayland
zypper	slurp	slurp
zypper	st	st
zypper	swaybg	swaybg
zypper	swayfx	
zypper	swayidle	swayidle
zypper	swaylock	swaylock
zypper	swaync	SwayNotificationCenter
zypper	sway	sway
zypper	tint2	
zypper	tofi	tofi
zypper	uwsm	uwsm
